"Date","C.N","delta15n","delta13c","POC_ug.L","PN_ug.L","chl_20um","chl_GF.F","chl_3um","phaeo.chla","NO3","PO4","Si","SST","SSS","log10.N2","Rain2Day","WindSp2Day","WindDir2Day","Bacillariophyta","Chlorophyta","Ciliophora","Cryptophyta","Dinoflagellata"
2018-03-06,5.5794727836887,4.892962171,-26.35268129,560.2078359,15.924768695,0.3415108315,0.3054271555,0.1585116775,1.36319038829262,25.28689459,2.16156617,47.12180338,6.98945,28.11855,-3.7906064127184,0,1.04820833333333,220.421875,11800,140000,2160,147000,280
2018-03-13,4.58250360687248,4.715560035,-26.75854101,182.003088325,33.515354965,0.3287937325,0.4167972995,0.4940511695,0.857927078676858,22.9338474,1.904680973,45.851946445,7.2405,28.24855,-3.5132947898474,0,0.519148936170213,232.85470212766,5360,240625,16064,140000,2440
2018-03-20,7.56016189097861,7.3031118205,-19.503847415,900.7757656,146.19812435,11.55782316,0.315465137,0.588335308,0.643974664945793,0.044312185,0.0872836065,0.6032554445,8.57035,28.2312,-3.44388108749245,0,1.6773125,237.362020833333,2583816,31818,8756,22112,15382
2018-03-27,4.57169559919617,6.5487207925,-20.354259125,309.8019637,66.006226885,5.2935151595,0.0964589195,0.2052313165,0.446330324155191,12.85924025,1.3358641405,22.699385005,8.08905,28.86915,-4.11863382244741,31.6,2.3690625,187.62125,369170,24500,1443,3500,8998
2018-04-04,4.14271641879718,6.938369885,-20.293769795,274.5500638,75.57321321,NA,NA,NA,NA,NA,NA,NA,8.44155,28.94075,-4.15608583340017,1,2.35729166666667,214.351354166667,NA,NA,NA,NA,NA
2018-04-12,4.46628795425801,7.434232881,-19.108373815,535.54218225,115.0939436,10.1727472385,0.215515684,0.598077418,0.283183885294563,2.7226599205,0.762451769,11.044709505,8.94155,28.59025,-3.76146861803054,20,2.79497916666667,173.007708333333,2193200,21000,3600,0,10000
2018-04-17,4.52296197621121,6.34677301,-20.839723825,230.730034235714,41.3927471088095,NA,0.047870259,0.119382463,NA,8.7155582055,1.324489579,19.00660996,8.92735,28.83935,-4.10390617485473,0.8,1.35770833333333,211.8664375,113424,29750,1890,3000,31240
2018-04-24,4.46482474374832,5.0284820845,-22.422766935,589.39140215,120.18400585,1.3767348835,3.28409716,3.460901711,0.13262728213756,3.344108288,0.7435823455,14.34349111,10.0894,28.4618,-3.52894322326097,0,1.1424375,217.689375,227232,14000,1836,42000,34966
2018-05-02,4.22621393826995,6.7359557655,-22.47740132,385.12482795,79.10177057,0.9543805975,0.5195429165,0.7113174195,0.468977255537646,1.63597327,0.6412145565,13.90082134,10.8943,28.68505,-3.39423054677983,0.2,2.33489583333333,201.12,179228,70000,8066,399000,31012
2018-05-08,5.08217281235249,8.276481983,-21.21617862,388.17287015,78.392390755,0.600755097,0.105800968,0.132411232,0.635067497787299,0.0193768085,0.2962869465,6.708495695,12.8805,28.1108,-3.23045876535847,1.4,1.5891875,200.626041666667,389274,10000,666,10500,43469
